Type,Simulation,case,tau_setup,lossValue,predictionAccuracy,avg_tau,stddev_tau,avg_each_local,stddev_each_local,avg_each_global,stddev_each_global,avg_betaAdapt,stddev_betaAdapt,avg_deltaAdapt,stddev_deltaAdapt,avg_rhoAdapt,stddev_rhoAdapt,total_time_recomputed
distributed,1,3,3,0.23565643458257624,0.8561,2.9846743295019156,0.23591522150030333,0.01320508335798677,0.0035384055922325517,0.12916035501762477,0.0587927281796808,nan,nan,nan,nan,nan,nan,14.804083962062592,
distributed,1,3,5,0.23755364391254136,0.8548,4.978494623655914,0.6402907926629705,0.01277314259091977,0.0029915996886088806,0.13512237903896449,0.05654463453953944,nan,nan,nan,nan,nan,nan,14.976408105174688,
distributed,1,3,7,0.24069004685370365,0.8515,6.97489539748954,0.9995917534020515,0.01259657439826284,0.00254994808169993,0.13106683311091205,0.05341061138252024,nan,nan,nan,nan,nan,nan,15.231772594839786,
distributed,1,3,10,0.2480370387180425,0.8437,9.966165413533835,1.6847394776160547,0.013554046765172204,0.002718808361574178,0.14452666919269452,0.05549310255753467,nan,nan,nan,nan,nan,nan,14.994217998894653,
distributed,1,3,20,0.2656581936875616,0.8236,19.872282608695652,3.1239402635266735,0.01313040021263045,0.0024486684225194484,0.134049540283511,0.05125432574737661,nan,nan,nan,nan,nan,nan,15.008037913090822,
distributed,1,3,30,0.2774265221548236,0.8137,29.851727982162764,5.148977248090416,0.012544671570366976,0.0017978557381943564,0.12254761095598778,0.05010689764727089,nan,nan,nan,nan,nan,nan,15.257661096568192,
distributed,1,3,50,0.29033032628018596,0.8024,49.27801724137931,11.555950847939776,0.014219482085637928,0.003441964738028511,0.12932624082924754,0.048864985632449065,nan,nan,nan,nan,nan,nan,15.090416222188031,
distributed,1,3,70,0.3034220024925985,0.7915,68.85625,17.62952069683121,0.013724127081455742,0.0016319120266085506,0.14379422089374383,0.035667095027609036,nan,nan,nan,nan,nan,nan,14.993572098075209,
distributed,1,3,100,0.31255577906906806,0.7803,99.80239520958084,36.89512162874653,0.014285116940329093,0.0034953986847061037,0.14904244905434277,0.05008233747162141,nan,nan,nan,nan,nan,nan,15.350469624001038,
Type,Simulation,case,tau_setup,lossValue,predictionAccuracy,avg_tau,stddev_tau,avg_each_local,stddev_each_local,avg_each_global,stddev_each_global,avg_betaAdapt,stddev_betaAdapt,avg_deltaAdapt,stddev_deltaAdapt,avg_rhoAdapt,stddev_rhoAdapt,total_time_recomputed
distributed,0,0,-1,0.22317072974062765,0.8725,33.284625158831005,15.001254921487982,0.014109688000679311,0.003430913570925125,0.135049704747391,0.053549322879751504,7.820901945370761,4.868664682260634,0.5478000622885826,0.09785861902756401,0.19685225956127334,0.1608633057620056,15.091811009977087,
distributed,0,0,1,0.2467628432674855,0.8424,1.0,0.0,0.011640853529606492,0.006468311148091504,0.13860286964749183,0.050982437082766445,nan,nan,nan,nan,nan,nan,15.174616040886939,
distributed,0,0,2,0.23425134701410477,0.8554,1.989247311827957,0.14430489325798443,0.012697691452628236,0.004567664385514875,0.13751805246236665,0.05113523422698971,nan,nan,nan,nan,nan,nan,15.299509395226206,
distributed,0,0,3,0.22959124221687593,0.8616,2.9849624060150375,0.29481109247603554,0.0125221397611527,0.0037016214855154915,0.1275741323555382,0.05948853410147282,nan,nan,nan,nan,nan,nan,14.807970383528183,
distributed,0,0,5,0.22634724693381983,0.8685,4.979328165374677,0.6283379061261193,0.012651252366528257,0.00283326352366138,0.12862829120092073,0.0495562052713522,nan,nan,nan,nan,nan,nan,15.039349936692764,
distributed,0,0,7,0.2252659901923014,0.8695,6.974137931034483,1.013746349389064,0.013383104287297928,0.002505803973693708,0.12965033532112968,0.05566071316966628,nan,nan,nan,nan,nan,nan,15.075308604452951,
distributed,0,0,10,0.22437025920073345,0.8706,9.946236559139784,1.2388002416778758,0.01291542455707422,0.0021238947766900303,0.13663582071500074,0.0533490183031755,nan,nan,nan,nan,nan,nan,15.06345719574842,
distributed,0,0,20,0.2232684153283588,0.8727,19.948787061994608,4.190876412148972,0.013153241904225293,0.0027159846513294048,0.13844652460240953,0.05746297279437215,nan,nan,nan,nan,nan,nan,14.974378320374909,
distributed,0,0,30,0.2231932361987662,0.8727,29.792814371257485,5.365144921041855,0.013281900314598293,0.0019361517070284123,0.14257841365341173,0.04552186476082568,nan,nan,nan,nan,nan,nan,15.001541273553606,
distributed,0,0,50,0.22270429253533783,0.8742,49.89705882352941,14.38363267359428,0.013991905834361015,0.002151530797437465,0.10415226905078506,0.06235987339902162,nan,nan,nan,nan,nan,nan,14.919693059541462,
distributed,0,0,70,0.22282120626857865,0.874,69.3641975308642,17.19767426136453,0.01317808933701327,0.0008092122453408906,0.12936546246811834,0.051911455490304625,nan,nan,nan,nan,nan,nan,14.865840020367184,
distributed,0,0,100,0.22262018630782243,0.8739,97.90485436893204,32.189111340465566,0.01247448219078716,0.002440228074677162,0.12032209379228727,0.05206585693718952,nan,nan,nan,nan,nan,nan,14.982083445540345,
distributed,0,1,-1,0.2275280361101734,0.8635,9.284090909090908,2.920830361386981,0.012254427214438635,0.003046694894761797,0.13619800548140376,0.05531648521640637,11.581237719215995,2.8564380554971915,1.3154720320034095,0.1810493851093659,0.8922430219012336,0.21276862751148917,15.345991364618541,
distributed,0,1,1,0.24441573754998236,0.8471,1.0,0.0,0.012749394501250578,0.006858365342968408,0.12442008360497969,0.05931520032618282,nan,nan,nan,nan,nan,nan,15.225812069791564,
distributed,0,1,2,0.23502082962290943,0.8549,1.988888888888889,0.14661169301237728,0.01310230210732454,0.004506904261756519,0.13850052487565415,0.0541967375053248,nan,nan,nan,nan,nan,nan,14.952212786255561,
distributed,0,1,3,0.23081202939444403,0.8592,2.9844357976653697,0.2997334439173632,0.012681522575510454,0.0036797472072845126,0.13704893486652545,0.05700301628903568,nan,nan,nan,nan,nan,nan,15.19689079486782,
