time,cc,earfcn,pci,rsrp,pl,cfo,pci_neigh,rsrp_neigh,cfo_neigh,dl_mcs,dl_snr,dl_turbo,dl_brate,dl_bler,ul_ta,distance_km,speed_kmph,ul_mcs,ul_buff,ul_brate,ul_bler,rf_o,rf_u,rf_l,is_attached,proc_rmem,proc_rmem_kB,proc_vmem_kB,sys_mem,sys_load,thread_count,cpu_0,cpu_1,cpu_2,cpu_3
86569,0,368500,1,3.3,0,0.0000035,n/a,n/a,n/a,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,59,14,18,77,92,83,90
87568,0,368500,1,3.1,0,0.00000022,n/a,n/a,n/a,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875060,1678528,59,22,18,100,91,100,94
88555,0,368500,1,3.3,0,0.0000019,n/a,n/a,n/a,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875060,1678528,59,11,18,83,79,49,71
89554,0,368500,1,3,0,0.00000099,n/a,n/a,n/a,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875060,1678528,59,15,18,90,76,74,78
90552,0,368500,1,3.4,0,-0.00000015,n/a,n/a,n/a,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875060,1678528,59,17,18,79,71,83,99
91550,0,368500,1,3.7,0,0.0000036,n/a,n/a,n/a,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875060,1678528,59,14,18,68,79,77,93
92549,0,368500,1,3.2,0,0.0000017,n/a,n/a,n/a,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875060,1678528,59,16,18,70,92,94,79
93548,0,368500,1,2.8,0,0.0000055,n/a,n/a,n/a,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875060,1678528,59,12,18,54,84,81,76
94547,0,368500,1,3.5,0,0.0000051,n/a,n/a,n/a,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875060,1678528,58,12,18,66,85,60,68
95540,0,368500,1,3.5,0,0.0000055,n/a,n/a,n/a,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875060,1678528,59,19,18,68,95,97,76
96538,0,368500,1,3.2,0,0.0000015,n/a,n/a,n/a,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875060,1678528,58,18,18,75,93,100,68
