CELL_GLOBAL_ID,DATETIME,RRU.PrbUsedDl,targetTput,DRB.UEThpDl,x,y,RF.serving.RSRP,RF.serving.RSRQ,RF.serving.RSSINR,rsrp_nb0,rsrq_nb0,rssinr_nb0,rsrp_nb1,rsrq_nb1,rssinr_nb1,rsrp_nb2,rsrq_nb2,rssinr_nb2,rsrp_nb3,rsrq_nb3,rssinr_nb3,rsrp_nb4,rsrq_nb4,rssinr_nb4
1003,58:09.1,45,0.1,0.076248917,-512,-913,-118.2297171,-40.79354144,13.99907039,-116.2250188,-40.79290228,16.00376862,-119.3639854,-40.79405733,12.86480208,-124.1042268,-40.79849581,8.124560629,-125.3744723,-40.80076415,6.85431516,-126.1315517,-40.80246683,6.097235786
1003,03:09.1,45,0.1,0.08134495,-415,-1365,-117.2490195,-40.79319201,14.97976791,-115.2443213,-40.79268201,16.98446614,-123.1235293,-40.79714571,9.10525815,-123.3010198,-40.79736804,8.927767649,-124.9250414,-40.79988492,7.303746091,-125.2841624,-40.80058011,6.944625017
1013,03:09.1,45,0.3,0.158637773,2365.8,-1004,-92.75546039,-10.79671258,29.47332706,-98.62997015,-10.81073399,23.59881731,-90.75076215,-10.79490153,31.4780253,-99.80681005,-10.81660644,22.4219774,-100.1874925,-10.8188708,22.04129494,-102.5313031,-10.83812708,19.69748438
1009,53:09.1,59,0.1,0.1,-1485,-855,-118.0823889,-40.79348379,14.1463985,-120.0870872,-40.7944639,12.14170027,-120.859427,-40.79497977,11.36936048,-122.55511,-40.79649178,9.673677476,-122.7378394,-40.79669275,9.490948102,-125.9615969,-40.80205843,6.26719051
1013,08:09.1,45,0.3,0.158644279,2365.7,-1004,-92.75424999,-10.79671121,29.47453747,-98.62875974,-10.81072873,23.60002771,-90.74955175,-10.79490067,31.4792357,-99.80628846,-10.81660347,22.422499,-100.1870147,-10.81886784,22.04177275,-102.5310245,-10.83812412,19.69776291
1009,58:09.1,45,0.1,0.079705831,-1622,-1334,-117.5636379,-40.79329565,14.66514958,-115.5589396,-40.79274733,16.66984781,-121.4404221,-40.79543295,10.7883654,-123.4381476,-40.79754614,8.790639819,-126.6365596,-40.80377885,5.592227895,-128.2416066,-40.80911862,3.987180829
1002,48:09.1,58,0.1,0.1,-1010,-1024,-117.7378034,-40.79335632,14.49098402,-119.7425017,-40.79426171,12.48628578,-119.9560424,-40.79438511,12.27274502,-122.5711586,-40.79650909,9.657628845,-123.1446579,-40.7971717,9.084129521,-125.6170114,-40.80127774,6.611776022
1005,43:09.1,91,0.75,0.413833655,1008,357,-84.20250471,-10.79249656,38.02628274,-90.07701447,-10.79445776,32.15177298,-82.19780647,-10.79224365,40.03098098,-95.09338922,-10.80020368,27.13539823,-96.31697802,-10.80293099,25.91180943,-97.72534047,-10.80718236,24.50344699
1002,53:09.1,91,0.75,0.445156731,-993,-656,-81.32391145,-10.79216506,40.90487601,-87.1984212,-10.79317604,35.03036625,-79.31921321,-10.7920347,42.90957424,-95.18235373,-10.80037717,27.04643373,-95.44056112,-10.80090127,26.78822633,-95.86095688,-10.80182399,26.36783057
1003,08:09.1,45,0.1,0.08134495,-415,-1365,-117.2490195,-40.79319201,14.97976791,-115.2443213,-40.79268201,16.98446614,-123.1235293,-40.79714571,9.10525815,-123.3010198,-40.79736804,8.927767649,-124.9250414,-40.79988492,7.303746091,-125.2841624,-40.80058011,6.944625017
1010,43:09.1,48,0.1,0.1,-1269,-1344,-114.8015886,-40.79259774,17.42719881,-116.8062869,-40.79305833,15.42250057,-120.7779321,-40.79492091,11.45085532,-122.6807966,-40.7966291,9.547990816,-122.8330111,-40.79680081,9.39577632,-124.9749387,-40.79997812,7.253848719
1006,38:09.1,62,0.25,0.25,-231.0665886,761.9556609,-88.13797065,-10.79350531,34.0908168,-94.0124804,-10.79835621,28.21630705,-86.13327241,-10.7928795,36.09551504,-91.79855561,-10.79574402,30.43023185,-93.7555469,-10.79798057,28.47324056,-96.42731991,-10.80321672,25.80146755
1001,53:09.1,30,0.25,0.133217011,30.99005079,-292.0793789,-85.09785393,-10.79265318,37.13093352,-90.97236369,-10.79506318,31.25642376,-83.0931557,-10.79234236,39.13563176,-94.1624999,-10.79858602,28.06628756,-94.25193138,-10.79872684,27.97685608,-94.84031962,-10.79972911,27.38846783
1009,03:09.1,45,0.1,0.079705831,-1622,-1334,-117.5636379,-40.79329565,14.66514958,-115.5589396,-40.79274733,16.66984781,-121.4404221,-40.79543295,10.7883654,-123.4381476,-40.79754614,8.790639819,-126.6365596,-40.80377885,5.592227895,-128.2416066,-40.80911862,3.987180829
1013,13:09.1,77,0.3,0.3,2269.3,-1009,-89.48700137,-10.79412181,32.74178609,-91.4916996,-10.79547593,30.73708785,-97.36620936,-10.80596449,24.86257809,-97.29366261,-10.80573043,24.93512484,-97.70011836,-10.80709351,24.52866909,-100.2732061,-10.81940843,21.95558133
1004,28:09.1,83,0.25,0.25,1419.92925,-616.9528897,-97.0443983,-10.80495527,25.18438915,-96.40561429,-10.80315994,25.82317316,-91.16988854,-10.79521438,31.05889891,-89.1651903,-10.79395692,33.06359715,-103.1985557,-10.84577103,19.03023175,-103.9620478,-10.85606551,18.26673964
1013,18:09.1,45,0.3,0.158640672,2365.3,-1001,-92.75492099,-10.79671197,29.47386646,-98.62943075,-10.81073164,23.59935671,-90.75022275,-10.79490114,31.4785647,-99.79963138,-10.81656561,22.42915607,-100.1912843,-10.81889436,22.03750315,-102.5214144,-10.8380223,19.70737305
1001,58:09.1,30,0.75,0.129742799,328.4,-2,-86.06643618,-10.7928632,36.16235127,-91.94094594,-10.79587499,30.28784152,-84.06173794,-10.79247475,38.16704951,-93.21235855,-10.79725585,29.01642891,-93.2466853,-10.79729902,28.98210216,-97.01257813,-10.80485947,25.21620933
1002,58:09.1,91,0.75,0.444998398,-993,-656.6,-81.33846184,-10.79216624,40.89032561,-87.2129716,-10.79318061,35.01581585,-79.33376361,-10.79203544,42.89502385,-95.18623574,-10.80038482,27.04255171,-95.4380361,-10.800896,26.79075135,-95.8558533,-10.80181225,26.37293415
1013,23:09.1,77,0.3,0.3,2269.2,-1009,-89.48560478,-10.79412107,32.74318267,-91.49030302,-10.79547475,30.73848443,-97.36481277,-10.80595995,24.86397468,-97.29311312,-10.80572867,24.93567433,-97.69961797,-10.80709175,24.52916948,-100.2729294,-10.81940668,21.95585802
1005,48:09.1,91,0.75,0.413620694,1008,356.2,-84.22207671,-10.79249965,38.00671074,-90.09658647,-10.7944697,32.13220098,-82.21737848,-10.79224559,40.01140898,-95.08604144,-10.8001895,27.14274601,-96.31481074,-10.80292545,25.91397671,-97.72864471,-10.80719403,24.50014274
1013,28:09.1,77,0.3,0.3,2269.1,-1009,-89.48420798,-10.79412033,32.74457948,-91.48890621,-10.79547357,30.73988124,-97.36341597,-10.8059554,24.86537148,-97.29256361,-10.80572691,24.93622385,-97.69911756,-10.80708999,24.52966989,-100.2726528,-10.81940492,21.9561347
1001,03:09.1,30,0.75,0.12976176,328.2,-2,-86.06114985,-10.79286193,36.16763761,-91.9356596,-10.79587005,30.29312785,-84.05645161,-10.79247394,38.17233584,-93.21392213,-10.79725781,29.01486532,-93.24823657,-10.79730097,28.98055088,-97.01215322,-10.80485819,25.21663424
1002,03:09.1,91,0.75,0.444892617,-993,-657,-81.34818279,-10.79216703,40.88060466,-87.22269254,-10.79318368,35.00609491,-79.34348455,-10.79203594,42.8853029,-95.1888238,-10.80038993,27.03996366,-95.4363538,-10.80089248,26.79243366,-95.85244927,-10.80180442,26.37633818
1013,33:09.1,77,0.3,0.3,2269,-1009,-89.48281095,-10.79411959,32.7459765,-91.48750919,-10.7954724,30.74127826,-97.36201895,-10.80595086,24.86676851,-97.29201406,-10.80572515,24.93677339,-97.69861712,-10.80708824,24.53017033,-100.2723761,-10.81940317,21.95641139
1001,08:09.1,30,0.25,0.133214948,30.98756349,-292.0992237,-85.09842906,-10.79265329,37.13035839,-90.97293882,-10.79506361,31.25584863,-83.09373083,-10.79234243,39.13505663,-94.16229241,-10.79858569,28.06649505,-94.25189197,-10.79872677,27.97689548,-94.84024104,-10.79972897,27.38854641
1005,53:09.1,91,0.75,0.413567469,1008,356,-84.22696825,-10.79250043,38.0018192,-90.10147801,-10.7944727,32.12730944,-82.22227002,-10.79224608,40.00651744,-95.08420357,-10.80018596,27.14458389,-96.31426951,-10.80292407,25.91451794,-97.72947093,-10.80719695,24.49931652
