time,cc,earfcn,pci,rsrp,pl,cfo,pci_neigh,rsrp_neigh,cfo_neigh,dl_mcs,dl_snr,dl_turbo,dl_brate,dl_bler,ul_ta,distance_km,speed_kmph,ul_mcs,ul_buff,ul_brate,ul_bler,rf_o,rf_u,rf_l,is_attached,proc_rmem,proc_rmem_kB,proc_vmem_kB,sys_mem,sys_load,thread_count,cpu_0,cpu_1,cpu_2,cpu_3
97796,0,368500,1,0.17,0,0.0000051,n/a,n/a,n/a,28,69,1.8,25390984,0,0,0,0,25,587,292542.375,0,0,0,0,0,11,874984,1677556,66,25,18,95,97,93,98
98794,0,368500,1,0.16,0,0.000012,n/a,n/a,n/a,28,69,1.8,25830666,0,0,0,0,26,0,482608.6875,0,0,0,0,0,11,874984,1677556,66,29,18,90,96,89,100
99787,0,368500,1,0.016,0,0.000007,n/a,n/a,n/a,28,69,1.8,24872268,0,0,0,0,27,207,390252.09375,0,0,0,0,0,11,874984,1677556,66,25,18,93,89,85,97
100784,0,368500,1,-0.21,0,0.000011,n/a,n/a,n/a,28,60,1.8,25722688,0,0,0,0,27,0,487232,0,0,0,0,0,11,874984,1677556,66,26,18,100,93,98,95
101781,0,368500,1,0.23,0,0.0000021,n/a,n/a,n/a,28,69,1.9,25600414,0,0,0,0,27,227,482014.8125,0,0,0,0,0,11,874984,1677556,65,28,18,100,95,89,95
102782,0,368500,1,0.22,0,0.000016,n/a,n/a,n/a,28,69,1.8,25511532,0,0,0,0,26,59,427896.09375,0,0,0,0,0,11,874984,1677556,65,31,18,100,95,92,93
103779,0,368500,1,0.15,0,0.000012,n/a,n/a,n/a,28,69,1.9,25452270,0,0,0,0,26,197,487297.3125,0,0,0,0,0,11,874984,1677556,65,30,18,100,96,95,96
104777,0,368500,1,0.026,0,0.0000022,n/a,n/a,n/a,28,69,1.9,25460604,0,0,0,0,26,0,410532.375,0,0,0,0,0,11,874984,1677556,65,29,18,100,100,95,92
105775,0,368500,1,-0.13,0,-0.00000011,n/a,n/a,n/a,28,69,1.8,25501440,0,0,0,0,26,168,416192,0,0,0,0,0,11,875112,1677556,65,27,18,100,99,94,92
106773,0,368500,1,0.71,0,0.000011,n/a,n/a,n/a,28,60,1.8,11982474,0,0,0,0,25,507,239516.28125,0,0,0,0,0,11,875112,1677556,65,25,18,100,88,95,81
107713,0,368500,1,0.53,0,0.0000075,n/a,n/a,n/a,28,69,1.8,21681976,0,0,0,0,26,274,427851.84375,0,0,0,0,0,11,875112,1677556,65,29,18,100,93,88,92
108712,0,368500,1,0.34,0,0.000009,n/a,n/a,n/a,28,69,1.9,25524832,0,0,0,0,26,351,453298.6875,0,0,0,0,0,11,875112,1677556,65,32,18,95,93,89,94
109710,0,368500,1,0.35,0,-0.00000061,n/a,n/a,n/a,28,69,1.9,25492564,0,0,0,0,26,438,586535.1875,0,0,0,0,0,11,875112,1677556,65,29,18,100,94,88,93
110714,0,368500,1,0.43,0,0.0000042,n/a,n/a,n/a,28,69,1.8,25269672,0,0,0,0,26,607,565430.3125,0,0,0,0,0,11,875112,1677556,65,33,18,100,92,89,95
111699,0,368500,1,0.19,0,0.0000043,n/a,n/a,n/a,28,69,1.9,25702608,0,0,0,0,26,112,689913.0625,0,0,0,0,0,11,875112,1677556,65,37,18,100,95,95,90
112692,0,368500,1,0.43,0,0.0000098,n/a,n/a,n/a,28,69,1.9,25422626,0,0,0,0,26,171,409766.875,0,0,0,0,0,11,875112,1677556,65,33,18,100,97,89,93
113676,0,368500,1,0.74,0,0.000014,n/a,n/a,n/a,28,69,1.8,25301368,0,0,0,0,26,56,477684.21875,0,0,0,0,0,11,875112,1677556,65,31,18,100,95,91,92
114641,0,368500,1,0.015,0,0.000013,n/a,n/a,n/a,28,60,1.9,25691934,0,0,0,0,26,0,442950.8125,0,0,0,0,0,11,875112,1677556,65,25,18,100,96,88,90
115635,0,368500,1,0.36,0,0.00001,n/a,n/a,n/a,28,69,1.8,25394332,0,0,0,0,26,115,430674.28125,0,0,0,0,0,11,875112,1677556,65,34,18,100,93,93,93
116629,0,368500,1,0.095,0,0.0000079,n/a,n/a,n/a,28,72,1.8,25253436,0,0,0,0,27,315,456820.5,0,0,0,0,0,11,875112,1677556,65,32,18,100,96,88,90
117623,0,368500,1,0.33,0,0.0000081,n/a,n/a,n/a,28,72,1.8,13784624,0,0,0,0,25,112,287024.375,0,0,0,0,0,11,875112,1677556,65,26,18,97,94,86,92
118617,0,368500,1,-0.14,0,-0.0000082,n/a,n/a,n/a,28,69,1.8,25675148,0,0,0,0,26,171,359868.84375,0,0,0,0,0,11,875112,1677556,65,26,18,99,96,89,94
119600,0,368500,1,0.16,0,0.000014,n/a,n/a,n/a,28,69,1.8,25445870,0,0,0,0,26,0,453179.84375,0,0,0,0,0,11,875112,1677556,65,29,18,93,95,88,97
120599,0,368500,1,0.026,0,0.000011,n/a,n/a,n/a,28,69,1.9,25330556,0,0,0,0,26,56,504833.34375,0,0,0,0,0,11,875112,1677556,65,30,18,89,94,84,100
121598,0,368500,1,0.23,0,0.000011,n/a,n/a,n/a,28,69,1.8,25600470,0,0,0,0,26,209,369823.53125,0,0,0,0,0,11,875112,1677556,65,29,18,92,96,89,100
122595,0,368500,1,-0.014,0,0.0000029,n/a,n/a,n/a,28,69,1.9,25257354,0,0,0,0,27,470,446461.53125,0,0,0,0,0,11,875112,1677556,65,27,18,94,95,92,98
123586,0,368500,1,0.84,0,0.0000092,n/a,n/a,n/a,28,69,1.8,25686222,0,0,0,0,26,168,420222.21875,0,0,0,0,0,11,875112,1677556,65,30,18,92,95,87,100
124575,0,368500,1,0.19,0,-0.0000017,n/a,n/a,n/a,28,69,1.9,25615530,0,0,0,0,26,283,441941.1875,0,0,0,0,0,11,875112,1677556,65,27,18,96,96,85,100
125569,0,368500,1,0.67,0,0.000013,n/a,n/a,n/a,28,69,1.8,25438584,0,0,0,0,26,344,364923.0625,0,0,0,0,0,11,875112,1677556,66,28,18,97,96,93,100
126568,0,368500,1,0.098,0,0.000019,n/a,n/a,n/a,28,69,1.8,25472182,0,0,0,0,27,1194,548121.1875,0,0,0,0,0,11,875112,1677556,66,28,18,96,96,93,100
127556,0,368500,1,0.32,0,0.000021,n/a,n/a,n/a,28,69,1.8,21387056,0,0,0,0,27,3,1088777.75,0,0,0,0,0,11,875112,1677556,66,28,18,98,98,99,100
128475,0,368500,1,0.66,0,0.0000019,n/a,n/a,n/a,28,69,1.7,14712569,0,0,0,0,26,582,436304.5625,0,0,0,0,0,11,875112,1677556,66,27,18,96,99,99,100
129444,0,368500,1,0.21,0,0.0000054,n/a,n/a,n/a,28,69,1.9,25481654,0,0,0,0,26,126,525066.6875,0,0,0,0,0,11,875112,1677556,66,31,18,95,99,98,100
130426,0,368500,1,0.29,0,0.000011,n/a,n/a,n/a,28,69,1.8,25429856,0,0,0,0,26,224,381391.3125,0,0,0,0,0,11,875112,1677556,66,29,18,98,99,98,100
131398,0,368500,1,0.093,0,0.0000029,n/a,n/a,n/a,28,67,1.8,25198266,0,0,0,0,25,112,393333.34375,0,0,0,0,0,11,875112,1677556,66,26,18,95,99,94,100
132375,0,368500,1,-0.059,0,0.000015,n/a,n/a,n/a,28,69,1.9,25754286,0,0,0,0,26,0,447111.125,0,0,0,0,0,11,875112,1677556,66,27,18,94,95,96,100
133380,0,368500,1,0.6,0,0.000016,n/a,n/a,n/a,28,69,1.8,25597480,0,0,0,0,26,181,362246.5625,0,0,0,0,0,11,875112,1677556,66,30,18,100,96,96,97
134378,0,368500,1,0.24,0,0.0000065,n/a,n/a,n/a,28,69,1.9,25465246,0,0,0,0,26,158,450360.65625,0,0,0,0,0,11,875112,1677556,66,27,18,98,99,96,96
135373,0,368500,1,0.25,0,0.00000051,n/a,n/a,n/a,28,69,1.8,24381976,0,0,0,0,27,227,514776.46875,0,0,0,0,0,11,875112,1677556,66,33,18,99,99,100,95
136367,0,368500,1,0.29,0,0.000008,n/a,n/a,n/a,28,69,1.9,25673362,0,0,0,0,26,307,401021.28125,0,0,0,0,0,11,875112,1677556,66,30,18,95,99,100,95
137339,0,368500,1,0.59,0,0.000009,n/a,n/a,n/a,28,69,1.9,25009066,0,0,0,0,27,266,516586.65625,0,0,0,0,0,11,875112,1677556,66,31,18,97,100,100,96
138299,0,368500,1,0.82,0,0.0000046,n/a,n/a,n/a,28,69,1.8,9068283,0,0,0,0,26,0,301522.125,0,0,0,0,0,11,875112,1677556,66,22,18,95,96,100,96
139298,0,368500,1,0.52,0,-0.0000059,n/a,n/a,n/a,28,72,1.9,22490166,0,0,0,0,26,164,349250,0,0,0,0,0,11,875112,1677556,66,20,18,97,98,90,89
140296,0,368500,1,-0.14,0,0.000015,n/a,n/a,n/a,28,69,1.8,25484064,0,0,0,0,26,56,620967.75,0,0,0,0,0,11,875112,1677556,66,26,18,100,95,93,95
